case_study,scenario,unit_process,recovery,reference
default,default,nano_filtration,0.85,Based on Vogtle case study data. No costs for WT3 treatment.
default,default,nanofiltration,0.8,Texas Water Development Board IT3PR User Manual
default,default,ozonation,0.9999,Texas Water Development Board IT3PR User Manual
default,default,ozone_aop,0.9999,EPA model: https://www.epa.gov/sdwa/drinking-water-treatment-technology-unit-cost-models
default,default,packed_tower_aeration,0.9999,
upw,baseline,passthrough,0.99,
upw,zld_a,passthrough,0.99,
upw,zld_b,passthrough,0.99,
upw,zld_c,passthrough,0.99,
default,default,ph_adjustment,0.9999,Defined based on the Iron and Steel case study data.
default,default,ph_decrease,0.99,
default,default,ph_increase,0.9999,Defined based on the Iron and Steel case study data.
iron_and_steel,baseline,ph_increase,0.9999,Defined based on the Iron and Steel case study data.
default,baseline,primary_separator,0.999,Defined based on the Iron and Steel case study data.
default,default,raw_water_pump,0.9999,"(1) https://www.engineeringtoolbox.com/water-pumping-costs-d_1527.html, (2) https://onlinelibrary.wiley.com/doi/pdf/10.1002/9780470260036.ch5, (3) Cost Estimating Manual for Water Treatment Facilities (McGivney/Kawamura)"
default,default,raw_water_pump1,0.9999,"(1) https://www.engineeringtoolbox.com/water-pumping-costs-d_1527.html, (2) https://onlinelibrary.wiley.com/doi/pdf/10.1002/9780470260036.ch5, (3) Cost Estimating Manual for Water Treatment Facilities (McGivney/Kawamura)"
default,default,raw_water_pump2,0.9999,"(1) https://www.engineeringtoolbox.com/water-pumping-costs-d_1527.html, (2) https://onlinelibrary.wiley.com/doi/pdf/10.1002/9780470260036.ch5, (3) Cost Estimating Manual for Water Treatment Facilities (McGivney/Kawamura)"
default,default,recharge_pump_well,0.9999,
default,default,reverse_osmosis,calculated,Calculated value for total TDS removal from DEEP 5.1 model from IAEA
default,default,screen,0.9999,"Voutchkov, N. (2018). Desalination Project Cost Estimating and Management. Taylor & Francis, a CRC title, part of the Taylor & Francis imprint, a member of the Taylor & Francis Group, the academic division of T&F Informa, plc."
default,default,sedimentation,0.99,"(1) Cost Estimating Manual for Water Treatment Facilities (McGivney/Kawamura), (2) Water and Wastewater Engineering: Design Principles and Practice (Mackenzie L. Davis)"
cherokee,baseline,settling_pond,0.9999,"Based on ""Sedimentation"" cost model. See references in VAR. There will be minimal water losses. "
default,default,settling_pond,0.9999,"Based on ""Sedimentation"" cost model. See references in VAR. There will be minimal water losses. "
default,default,sludge_tank,0.99999,
default,default,smp,0.9999,
default,default,sodium_bisulfite_addition,0.9999,Based on costs for Sulfuric Acid Addition from Cost Estimating Manual for Water Treatment Facilities (McGivney/Kawamura).
default,default,soil_aquifer_treatment,0.9999,Texas Water Development Board IT3PR User Manual
heap_leaching,baseline,solution_distribution_and_recovery_plant,0.922222222,Heap leaching (gold/copper) case study.
default,default,solution_distribution_and_recovery_plant,0.922222222,
default,default,tramp_oil_tank,0.9999,
default,default,tri_media_filtration,0.9,Texas Water Development Board IT3PR User Manual
san_luis,baseline,uf_feed_pump,0.9999,Defined based on the San Luis case study data.
default,default,uf_feed_pump,0.9999,Defined based on the San Luis case study data.
default,default,ultra_filtration,0.95,Texas Water Development Board IT3PR User Manual
default,default,ultrafiltration,0.95,Texas Water Development Board IT3PR User Manual
default,default,uv_aop,0.9999,Texas Water Development Board IT3PR User Manual
default,default,uv_irradiation,0.9999,Texas Water Development Board IT3PR User Manual
default,default,waiv,0.9999,
default,default,walnut_shell_filter,0.99,Defined based on the Kern County case study data.
default,default,wire_screen,0.99999,"Voutchkov, N. (2018). Desalination Project Cost Estimating and Management. Taylor & Francis, a CRC title, part of the Taylor & Francis imprint, a member of the Taylor & Francis Group, the academic division of T&F Informa, plc."
default,default,grit_chamber,0.99999,Poseidon
